Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP008500,Male,No,0,Graduate,No,1608.0,7613.0,336.0,360.0,1.0,Rural,Y
LP008501,Male,Yes,1,Not Graduate,No,3571.0,6613.0,473.0,360.0,1.0,Semiurban,Y
LP008502,Male,No,0,Graduate,No,11388.0,6437.0,487.0,360.0,0.0,Urban,N
LP008503,Female,Yes,3+,Graduate,No,12729.0,4983.0,422.0,360.0,1.0,Semiurban,Y
LP008504,Male,No,0,Not Graduate,No,3919.0,1782.0,274.0,360.0,1.0,Rural,N
LP008505,Female,No,0,Not Graduate,No,2688.0,7555.0,626.0,360.0,1.0,Semiurban,Y
LP008506,Male,No,0,Graduate,Yes,8040.0,276.0,664.0,360.0,1.0,Rural,N
LP008507,Female,No,0,Not Graduate,No,17483.0,9891.0,479.0,360.0,1.0,Semiurban,N
LP008508,Female,Yes,0,Graduate,No,9094.0,8689.0,219.0,120.0,1.0,Semiurban,Y
LP008509,Male,Yes,2,Graduate,No,8740.0,5362.0,419.0,360.0,1.0,Semiurban,Y
LP008510,Male,No,0,Graduate,No,5194.0,8038.0,673.0,360.0,1.0,Urban,N
LP008511,Female,Yes,0,Graduate,No,13288.0,3928.0,142.0,360.0,1.0,Semiurban,Y
LP008512,Female,No,3+,Not Graduate,,17954.0,4454.0,636.0,360.0,1.0,Semiurban,Y
LP008513,Female,No,0,Not Graduate,No,10183.0,2839.0,525.0,360.0,1.0,Semiurban,Y
LP008514,Male,No,0,Not Graduate,Yes,18357.0,277.0,64.0,360.0,1.0,Urban,N
LP008515,Male,Yes,0,Graduate,No,13773.0,4266.0,335.0,360.0,1.0,Semiurban,Y
LP008516,Female,No,0,Graduate,No,17662.0,1519.0,72.0,360.0,0.0,Urban,N
LP008517,Female,Yes,0,Graduate,No,13811.0,6832.0,552.0,360.0,1.0,Semiurban,N
LP008518,Male,Yes,0,Not Graduate,No,10160.0,4471.0,653.0,360.0,1.0,Rural,N
LP008519,Female,Yes,0,Graduate,No,19344.0,,172.0,360.0,1.0,Semiurban,N
LP008520,Male,Yes,1,Graduate,Yes,8025.0,6443.0,664.0,360.0,1.0,Urban,N
LP008521,Male,Yes,2,Graduate,No,19323.0,4204.0,321.0,360.0,1.0,Urban,N
LP008522,Male,Yes,1,Not Graduate,No,2528.0,9247.0,207.0,360.0,1.0,Urban,N
LP008523,Male,No,0,Graduate,No,16225.0,1465.0,629.0,240.0,1.0,Urban,N
LP008524,Female,Yes,0,Graduate,No,2222.0,1079.0,338.0,360.0,0.0,Semiurban,Y
LP008525,Male,No,0,Not Graduate,No,17349.0,9955.0,490.0,240.0,0.0,Urban,N
LP008526,Male,Yes,0,Not Graduate,No,19935.0,2494.0,301.0,360.0,1.0,Semiurban,N
LP008527,Female,Yes,0,Graduate,No,11429.0,6635.0,518.0,360.0,1.0,Rural,N
LP008528,Female,No,0,Graduate,No,12316.0,9080.0,587.0,360.0,1.0,Urban,Y
LP008529,Female,No,0,Not Graduate,No,8190.0,8323.0,686.0,240.0,1.0,Urban,Y
LP008530,Female,Yes,2,Not Graduate,No,9651.0,9453.0,575.0,360.0,1.0,Urban,Y
LP008531,Male,Yes,0,Not Graduate,No,8199.0,249.0,65.0,360.0,1.0,Semiurban,N
LP008532,Female,Yes,3+,Graduate,No,10978.0,1065.0,342.0,360.0,0.0,Rural,Y
LP008533,Female,Yes,2,Not Graduate,No,16497.0,996.0,300.0,240.0,1.0,Semiurban,Y
LP008534,Female,No,0,Graduate,No,3388.0,230.0,210.0,360.0,1.0,Rural,N
LP008535,Male,No,0,Not Graduate,No,10093.0,9019.0,307.0,360.0,1.0,Urban,N
LP008536,Male,Yes,0,Graduate,No,10044.0,403.0,594.0,360.0,1.0,Semiurban,N
LP008537,Female,No,1,Graduate,No,18556.0,4076.0,112.0,360.0,1.0,Semiurban,Y
LP008538,Male,Yes,0,Not Graduate,Yes,12576.0,3963.0,389.0,360.0,1.0,Rural,Y
LP008539,Female,No,0,Not Graduate,No,18148.0,3452.0,338.0,,0.0,Semiurban,N
LP008540,Female,No,0,Graduate,No,2565.0,,127.0,360.0,1.0,Urban,N
LP008541,Female,No,0,Not Graduate,No,15010.0,7956.0,485.0,180.0,1.0,Semiurban,N
LP008542,Female,Yes,3+,Graduate,No,13146.0,4222.0,291.0,360.0,1.0,Rural,Y
LP008543,Female,No,0,Graduate,No,18090.0,5764.0,505.0,,1.0,Semiurban,Y
LP008544,Male,Yes,0,Not Graduate,No,7362.0,8431.0,252.0,360.0,1.0,Urban,N
LP008545,Female,No,0,Graduate,Yes,7715.0,7717.0,421.0,360.0,1.0,Semiurban,N
LP008546,Female,Yes,2,Not Graduate,No,10099.0,6713.0,280.0,360.0,1.0,Semiurban,Y
LP008547,Male,Yes,1,Graduate,No,11351.0,8879.0,655.0,360.0,1.0,Semiurban,Y
LP008548,Male,No,2,Graduate,No,4256.0,,536.0,360.0,0.0,Semiurban,N
LP008549,Male,Yes,2,Not Graduate,No,9970.0,4269.0,226.0,360.0,1.0,Rural,N
LP008550,Female,No,2,Graduate,No,17298.0,4950.0,352.0,360.0,1.0,Urban,Y
LP008551,Male,No,0,Graduate,No,3389.0,2304.0,248.0,360.0,1.0,Rural,Y
