Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001500,Female,Yes,0,Graduate,No,16881.0,,349.0,360.0,1.0,Urban,Y
LP001501,Male,No,0,Not Graduate,No,15590.0,1934.0,543.0,360.0,1.0,Rural,N
LP001502,Male,No,2,Graduate,No,12469.0,3160.0,283.0,360.0,1.0,Semiurban,N
LP001503,Male,Yes,0,Graduate,Yes,6691.0,4786.0,232.0,360.0,0.0,Rural,N
LP001504,Male,No,2,Not Graduate,No,6116.0,7454.0,140.0,360.0,1.0,Urban,Y
LP001505,Male,No,0,Not Graduate,No,3422.0,6799.0,158.0,360.0,1.0,Rural,Y
LP001506,Female,No,2,Not Graduate,No,3486.0,163.0,554.0,360.0,1.0,Semiurban,N
LP001507,Female,Yes,1,Not Graduate,No,2000.0,5414.0,62.0,360.0,1.0,Urban,Y
LP001508,Female,Yes,1,Graduate,No,15813.0,8842.0,510.0,360.0,1.0,Urban,Y
LP001509,Female,Yes,0,Not Graduate,No,11514.0,7920.0,228.0,360.0,1.0,Urban,N
LP001510,Female,Yes,0,Graduate,No,14038.0,7922.0,231.0,360.0,1.0,Semiurban,Y
LP001511,Female,No,2,Not Graduate,No,11318.0,7641.0,527.0,360.0,1.0,Rural,N
LP001512,Female,No,0,Graduate,No,19111.0,2094.0,146.0,360.0,1.0,Rural,N
LP001513,Male,Yes,0,Not Graduate,No,3555.0,,,120.0,1.0,Semiurban,Y
LP001514,Male,No,1,Not Graduate,,3655.0,9762.0,474.0,360.0,1.0,Semiurban,Y
LP001515,Male,No,0,Not Graduate,No,15556.0,9338.0,93.0,360.0,0.0,Urban,N
LP001516,Female,Yes,0,Graduate,No,11569.0,4852.0,521.0,360.0,1.0,Rural,Y
LP001517,Female,Yes,0,Graduate,No,17491.0,5007.0,654.0,360.0,1.0,Rural,Y
LP001518,Male,No,0,Not Graduate,No,12556.0,2568.0,185.0,360.0,1.0,Rural,N
LP001519,Female,No,2,Graduate,No,4070.0,4938.0,590.0,360.0,1.0,Rural,Y
LP001520,Male,No,0,Not Graduate,No,11088.0,3796.0,591.0,360.0,1.0,Semiurban,N
LP001521,Female,Yes,3+,Graduate,Yes,8976.0,5933.0,297.0,360.0,0.0,Semiurban,Y
LP001522,Male,Yes,0,Not Graduate,No,4469.0,2374.0,269.0,120.0,1.0,Urban,N
LP001523,Male,Yes,0,Not Graduate,No,14990.0,1931.0,608.0,360.0,1.0,Urban,N
LP001524,Male,No,1,Graduate,No,7223.0,7026.0,495.0,360.0,1.0,Semiurban,Y
LP001525,Male,No,0,Graduate,No,5089.0,6887.0,193.0,360.0,1.0,Rural,N
LP001526,Male,Yes,1,Graduate,No,11583.0,7173.0,123.0,360.0,0.0,Urban,Y
LP001527,Male,No,2,Not Graduate,Yes,6631.0,4138.0,78.0,360.0,1.0,Semiurban,N
LP001528,Female,No,0,Graduate,No,19157.0,7449.0,170.0,360.0,1.0,Rural,N
LP001529,Female,No,2,Graduate,No,9044.0,1589.0,64.0,360.0,1.0,Semiurban,N
LP001530,Male,No,0,Graduate,No,11937.0,2943.0,269.0,360.0,1.0,Semiurban,Y
LP001531,Female,Yes,0,Graduate,No,5210.0,7818.0,356.0,360.0,1.0,Urban,N
LP001532,Female,No,0,Graduate,Yes,15259.0,5334.0,521.0,360.0,1.0,Semiurban,N
LP001533,Male,Yes,3+,Not Graduate,No,4440.0,3096.0,678.0,360.0,1.0,Semiurban,Y
LP001534,Male,Yes,0,Not Graduate,No,1920.0,907.0,398.0,360.0,1.0,Urban,Y
LP001535,Male,No,2,Graduate,No,4579.0,4672.0,51.0,360.0,1.0,Semiurban,Y
LP001536,Male,No,0,Not Graduate,No,16000.0,8451.0,81.0,360.0,1.0,Urban,N
LP001537,Female,No,0,Graduate,No,3919.0,8128.0,359.0,240.0,1.0,Semiurban,N
LP001538,Male,No,0,Graduate,No,2918.0,5537.0,314.0,360.0,0.0,Semiurban,N
LP001539,Female,No,2,Not Graduate,Yes,15231.0,5594.0,324.0,360.0,1.0,Rural,Y
LP001540,Female,No,1,Not Graduate,No,6047.0,9324.0,695.0,240.0,1.0,Urban,N
LP001541,Male,Yes,0,Not Graduate,No,8300.0,2762.0,,360.0,1.0,Rural,Y
LP001542,Female,No,2,Not Graduate,No,3541.0,9869.0,491.0,360.0,1.0,Rural,N
LP001543,Male,Yes,0,Not Graduate,No,15083.0,869.0,446.0,360.0,1.0,Rural,N
LP001544,Female,Yes,3+,Not Graduate,Yes,14752.0,2031.0,660.0,360.0,0.0,Rural,N
LP001545,Male,Yes,2,Not Graduate,No,15299.0,8124.0,206.0,360.0,1.0,Urban,N
LP001546,Female,No,1,Graduate,No,1871.0,9780.0,243.0,360.0,1.0,Semiurban,N
LP001547,Female,No,2,Graduate,No,12288.0,5237.0,556.0,360.0,1.0,Rural,Y
LP001548,Male,No,0,Graduate,No,10694.0,8766.0,,240.0,1.0,Urban,N
LP001549,Female,No,1,Not Graduate,No,9077.0,8332.0,336.0,360.0,1.0,Semiurban,Y
LP001550,Female,Yes,0,Graduate,No,16439.0,4094.0,,120.0,1.0,Semiurban,N
