Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP009500,Female,Yes,2,Not Graduate,,19459.0,95.0,,360.0,1.0,Rural,N
LP009501,Female,Yes,0,Not Graduate,No,14249.0,8465.0,180.0,240.0,1.0,Semiurban,N
LP009502,Female,No,0,Not Graduate,No,7643.0,7939.0,299.0,360.0,0.0,Urban,Y
LP009503,Female,Yes,2,Graduate,No,,3989.0,186.0,180.0,1.0,Rural,N
LP009504,Male,Yes,0,Not Graduate,No,13918.0,9591.0,,360.0,1.0,Rural,N
LP009505,Male,Yes,0,Not Graduate,No,7722.0,7877.0,560.0,360.0,1.0,Urban,N
LP009506,Male,No,0,Graduate,No,2068.0,,123.0,360.0,1.0,Urban,N
LP009507,Female,No,2,Graduate,No,19326.0,2092.0,429.0,180.0,1.0,Rural,N
LP009508,Male,No,,Not Graduate,No,2446.0,5498.0,569.0,360.0,1.0,Rural,N
LP009509,Male,No,1,Not Graduate,No,13736.0,1884.0,328.0,360.0,1.0,Semiurban,N
LP009510,Female,No,2,Not Graduate,No,9743.0,5001.0,451.0,360.0,1.0,Rural,N
LP009511,Female,Yes,0,Not Graduate,No,14731.0,,697.0,360.0,1.0,Urban,Y
LP009512,Male,,2,Not Graduate,No,13351.0,8867.0,694.0,360.0,1.0,Semiurban,Y
LP009513,Female,No,3+,Not Graduate,Yes,,1633.0,396.0,120.0,1.0,Semiurban,Y
LP009514,Female,No,1,Not Graduate,No,15315.0,,580.0,360.0,1.0,Urban,Y
LP009515,Male,No,2,Not Graduate,No,13926.0,1266.0,430.0,360.0,1.0,Rural,N
LP009516,Male,No,0,Not Graduate,Yes,17457.0,136.0,110.0,360.0,0.0,Rural,N
LP009517,Female,Yes,0,Not Graduate,No,1733.0,5177.0,237.0,360.0,1.0,Semiurban,N
LP009518,Female,Yes,2,Graduate,No,14075.0,9123.0,435.0,,1.0,Urban,N
LP009519,Male,No,1,Graduate,No,15864.0,1941.0,552.0,360.0,1.0,Semiurban,Y
LP009520,Male,No,1,Not Graduate,No,10821.0,6924.0,227.0,180.0,1.0,Semiurban,Y
LP009521,Female,No,1,Not Graduate,No,18499.0,8360.0,376.0,360.0,1.0,Rural,N
LP009522,Female,Yes,2,Not Graduate,No,3424.0,8653.0,226.0,360.0,1.0,Rural,N
LP009523,Female,Yes,1,Not Graduate,No,16488.0,4505.0,163.0,360.0,1.0,Urban,Y
LP009524,Male,No,0,Not Graduate,No,5428.0,8055.0,257.0,360.0,,Semiurban,N
LP009525,Male,No,0,Graduate,No,6389.0,7551.0,504.0,360.0,1.0,Urban,Y
