Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP009000,Female,Yes,0,Not Graduate,No,16288.0,5425.0,613.0,360.0,1.0,Rural,Y
LP009001,Female,Yes,0,Not Graduate,No,19979.0,2286.0,487.0,360.0,1.0,Urban,Y
LP009002,Female,Yes,0,Graduate,No,17522.0,1482.0,87.0,360.0,0.0,Rural,N
LP009003,Male,Yes,0,Not Graduate,No,1590.0,2214.0,624.0,360.0,1.0,Semiurban,N
LP009004,Female,No,0,Not Graduate,Yes,5505.0,3834.0,425.0,120.0,1.0,Urban,N
LP009005,Male,Yes,1,Not Graduate,No,4656.0,9428.0,55.0,360.0,1.0,Semiurban,N
LP009006,Male,No,0,Not Graduate,No,2757.0,4827.0,689.0,360.0,1.0,Rural,N
LP009007,Female,No,1,Not Graduate,No,6596.0,9207.0,357.0,360.0,1.0,Rural,N
LP009008,Female,Yes,0,Graduate,No,1715.0,1686.0,683.0,360.0,1.0,Urban,Y
LP009009,Female,Yes,0,Not Graduate,No,7680.0,7533.0,171.0,360.0,1.0,Semiurban,N
LP009010,Male,No,3+,Not Graduate,No,18786.0,6464.0,221.0,360.0,1.0,Rural,N
LP009011,Male,No,2,Graduate,No,11244.0,9148.0,469.0,360.0,1.0,Semiurban,N
LP009012,Male,Yes,0,Graduate,No,11524.0,1205.0,369.0,360.0,1.0,Semiurban,N
LP009013,Male,Yes,0,Not Graduate,No,3867.0,9868.0,296.0,360.0,1.0,Semiurban,Y
LP009014,Male,Yes,1,Not Graduate,No,19758.0,967.0,670.0,360.0,1.0,Urban,Y
LP009015,Male,Yes,0,Graduate,No,17172.0,5202.0,242.0,360.0,1.0,Semiurban,N
LP009016,Male,Yes,1,Not Graduate,Yes,16304.0,4759.0,481.0,180.0,1.0,Urban,Y
LP009017,Female,Yes,0,Graduate,No,3592.0,2151.0,,120.0,1.0,Rural,N
LP009018,Male,Yes,0,Graduate,No,16932.0,7344.0,300.0,360.0,0.0,Semiurban,Y
LP009019,Female,Yes,0,Graduate,Yes,4936.0,9850.0,397.0,360.0,1.0,Urban,Y
LP009020,Male,Yes,2,Not Graduate,No,14665.0,1752.0,98.0,360.0,1.0,Urban,Y
