Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP006500,Male,Yes,0,Graduate,No,8878.0,8173.0,156.0,360.0,1.0,Semiurban,Y
LP006501,Male,No,1,Not Graduate,Yes,19488.0,7305.0,600.0,360.0,1.0,Urban,Y
LP006502,Male,No,0,Graduate,No,11376.0,,644.0,360.0,1.0,Urban,Y
LP006503,Male,Yes,0,Graduate,No,10971.0,5889.0,553.0,360.0,1.0,Semiurban,Y
LP006504,Male,Yes,2,Not Graduate,No,13843.0,990.0,372.0,360.0,1.0,Rural,Y
LP006505,Female,Yes,0,Not Graduate,No,2368.0,2474.0,551.0,360.0,1.0,Rural,N
LP006506,Female,No,0,Not Graduate,No,4513.0,8875.0,204.0,360.0,1.0,Rural,Y
LP006507,Female,Yes,0,Graduate,No,2182.0,42.0,171.0,360.0,0.0,Semiurban,Y
LP006508,Female,Yes,0,Not Graduate,No,11955.0,2035.0,72.0,180.0,0.0,Rural,N
LP006509,Female,Yes,1,Graduate,No,2961.0,3379.0,84.0,120.0,0.0,Urban,N
LP006510,Male,No,0,Graduate,No,18029.0,9837.0,279.0,120.0,1.0,Urban,Y
LP006511,Female,Yes,1,Not Graduate,Yes,19858.0,4242.0,540.0,360.0,1.0,Rural,N
LP006512,Female,No,0,Graduate,No,7127.0,4912.0,190.0,360.0,1.0,Urban,N
LP006513,Female,Yes,1,Not Graduate,No,3320.0,2428.0,431.0,360.0,1.0,Urban,Y
LP006514,Female,No,0,Not Graduate,Yes,8462.0,9966.0,331.0,360.0,1.0,Rural,Y
LP006515,Male,No,1,Graduate,No,10296.0,9918.0,255.0,360.0,1.0,Semiurban,Y
LP006516,Female,Yes,1,Graduate,No,3106.0,3187.0,212.0,360.0,0.0,Rural,N
LP006517,Female,No,3+,Not Graduate,No,19431.0,9680.0,474.0,360.0,1.0,Semiurban,N
LP006518,,No,3+,Not Graduate,No,8473.0,3740.0,183.0,360.0,1.0,Urban,N
LP006519,Male,Yes,0,Graduate,No,4272.0,843.0,633.0,360.0,1.0,Rural,Y
LP006520,Male,Yes,0,Not Graduate,No,19871.0,3278.0,613.0,360.0,1.0,Urban,N
LP006521,Male,No,1,Graduate,No,11077.0,1076.0,537.0,360.0,1.0,Urban,Y
LP006522,Female,No,1,Graduate,No,11511.0,7265.0,614.0,240.0,1.0,Semiurban,Y
LP006523,Male,No,0,Not Graduate,No,8475.0,6068.0,544.0,360.0,1.0,Urban,Y
LP006524,Male,No,0,Graduate,No,12346.0,6800.0,512.0,360.0,1.0,Semiurban,N
LP006525,,No,1,Not Graduate,No,11811.0,6900.0,,180.0,0.0,Rural,N
